"","Name","Author","User.Rating","Reviews","Price","Year","Genre"
"1","Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment","Steve Harvey",4.6,5013,17,2009,"Non Fiction"
"2","Arguing with Idiots: How to Stop Small Minds and Big Government","Glenn Beck",4.6,798,5,2009,"Non Fiction"
"3","Breaking Dawn (The Twilight Saga, Book 4)","Stephenie Meyer",4.6,9769,13,2009,"Fiction"
"4","Crazy Love: Overwhelmed by a Relentless God","Francis Chan",4.7,1542,14,2009,"Non Fiction"
"5","Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood)","Charlaine Harris",4.6,1541,4,2009,"Fiction"
"6","Diary of a Wimpy Kid: The Last Straw (Book 3)","Jeff Kinney",4.8,3837,15,2009,"Fiction"
"7","Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and All…","Zhi Gang Sha",4.6,37,6,2009,"Non Fiction"
"8","Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)","Jeff Kinney",4.8,3181,12,2009,"Fiction"
"9","Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution","David Zinczenko",4.5,720,1,2009,"Non Fiction"
"10","Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!","David Zinczenko",4.3,956,14,2009,"Non Fiction"
"11","Eclipse (Twilight Sagas)","Stephenie Meyer",4.7,5505,7,2009,"Fiction"
"12","Eclipse (Twilight)","Stephenie Meyer",4.7,5505,18,2009,"Fiction"
"13","Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine","Glenn Beck",4.6,1365,11,2009,"Non Fiction"
"14","Going Rogue: An American Life","Sarah Palin",4.6,1636,6,2009,"Non Fiction"
"15","Good to Great: Why Some Companies Make the Leap and Others Don't","Jim Collins",4.5,3457,14,2009,"Non Fiction"
"16","Have a Little Faith: A True Story","Mitch Albom",4.8,1930,4,2009,"Non Fiction"
"17","I, Alex Cross","James Patterson",4.6,1320,7,2009,"Fiction"
"18","Liberty and Tyranny: A Conservative Manifesto","Mark R. Levin",4.8,3828,15,2009,"Non Fiction"
"19","Mastering the Art of French Cooking, Vol. 2","Julia Child",4.8,2926,27,2009,"Non Fiction"
"20","New Moon (The Twilight Saga)","Stephenie Meyer",4.6,5680,10,2009,"Fiction"
"21","Olive Kitteridge","Elizabeth Strout",4.2,4519,12,2009,"Fiction"
"22","Outliers: The Story of Success","Malcolm Gladwell",4.6,10426,20,2009,"Non Fiction"
"23","Publication Manual of the American Psychological Association, 6th Edition","American Psychological Association",4.5,8580,46,2009,"Non Fiction"
"24","Sookie Stackhouse","Charlaine Harris",4.7,973,25,2009,"Fiction"
"25","StrengthsFinder 2.0","Gallup",4,5069,17,2009,"Non Fiction"
"26","Super Freakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance","Steven D. Levitt",4.5,1583,18,2009,"Non Fiction"
